s_no,date_time,date1,date_of_month,month_name,time_in_hrs,location,state,wind_speed_10m_mps,wind_speed_100m_mps,avg_wind_speed_mps,temperature_c,pressure_hpa,humidity_percentage,humidity_level,energy_output_kwh
1,01/01/2024 00:00,01/01/2024,1,January,00:00,Kanniyakumari,Tamil Nadu,8.79263,9.89427,9.34345,25.5,1000.48,36.1049,Low,2301.31
2,01/01/2024 01:00,01/01/2024,1,January,01:00,Kanniyakumari,Tamil Nadu,2.71025,5.02209,3.86617,25.2,983.912,52.9063,Medium,296.252
3,01/01/2024 02:00,01/01/2024,1,January,02:00,Kanniyakumari,Tamil Nadu,14.65,19.3007,16.9753,24.9,983.042,73.2014,High,16818.1
4,01/01/2024 03:00,01/01/2024,1,January,03:00,Kanniyakumari,Tamil Nadu,4.93963,5.65883,5.29923,24.7,1018.57,88.9893,High,439.493
5,01/01/2024 04:00,01/01/2024,1,January,04:00,Kanniyakumari,Tamil Nadu,5.95458,10.914,8.43429,24.9,997.279,32.7174,Low,3085
6,01/01/2024 05:00,01/01/2024,1,January,05:00,Kanniyakumari,Tamil Nadu,5.95125,7.38641,6.66883,24.9,1017.69,64.6944,Medium,975.894
7,01/01/2024 06:00,01/01/2024,1,January,06:00,Kanniyakumari,Tamil Nadu,4.99542,7.33487,6.16514,24.7,1003.08,43.5221,Medium,942.52
8,01/01/2024 07:00,01/01/2024,1,January,07:00,Kanniyakumari,Tamil Nadu,2.01916,2.72189,2.37053,25,1008.89,56.582,Medium,48.3946
9,01/01/2024 08:00,01/01/2024,1,January,08:00,Kanniyakumari,Tamil Nadu,11.4815,14.613,13.0472,26.1,991.162,89.6296,High,7330.04
10,01/01/2024 09:00,01/01/2024,1,January,09:00,Kanniyakumari,Tamil Nadu,14.569,17.245,15.907,27,982.701,89.5934,High,11908.3
11,01/01/2024 10:00,01/01/2024,1,January,10:00,Kanniyakumari,Tamil Nadu,4.91582,8.416,6.66591,27.5,1011.45,66.4168,Medium,1422.25
12,01/01/2024 11:00,01/01/2024,1,January,11:00,Kanniyakumari,Tamil Nadu,10.6196,13.5617,12.0906,28.5,986.731,39.9626,Low,5786.45
13,01/01/2024 12:00,01/01/2024,1,January,12:00,Kanniyakumari,Tamil Nadu,11.6447,13.9365,12.7906,29.3,1008.65,60.0239,Medium,6402.1
14,01/01/2024 13:00,01/01/2024,1,January,13:00,Kanniyakumari,Tamil Nadu,13.0295,16.8494,14.9395,29.7,983.022,80.1651,High,11012.1
15,01/01/2024 14:00,01/01/2024,1,January,14:00,Kanniyakumari,Tamil Nadu,7.49418,8.10677,7.80048,29.7,1003.01,64.41,Medium,1251.41
16,01/01/2024 15:00,01/01/2024,1,January,15:00,Kanniyakumari,Tamil Nadu,5.9381,8.87273,7.40542,28.9,1010.13,73.0572,High,1656.71
17,01/01/2024 16:00,01/01/2024,1,January,16:00,Kanniyakumari,Tamil Nadu,6.22884,7.24128,6.73506,28.7,980.766,76.2698,High,874.979
18,01/01/2024 17:00,01/01/2024,1,January,17:00,Kanniyakumari,Tamil Nadu,11.2641,13.7261,12.4951,27.7,995.536,57.3255,Medium,6069.14
19,01/01/2024 18:00,01/01/2024,1,January,18:00,Kanniyakumari,Tamil Nadu,12.6181,16.6782,14.6482,26.8,1003.54,70.2133,High,11008
20,01/01/2024 19:00,01/01/2024,1,January,19:00,Kanniyakumari,Tamil Nadu,4.36098,5.50206,4.93152,26.3,1011.93,37.4779,Low,399.19
21,01/01/2024 20:00,01/01/2024,1,January,20:00,Kanniyakumari,Tamil Nadu,6.82223,11.5334,9.17781,26,990.321,52.9564,Medium,3601.92
22,01/01/2024 21:00,01/01/2024,1,January,21:00,Kanniyakumari,Tamil Nadu,13.7252,18.2235,15.9744,26,1012.65,60.5948,Medium,14529.2
23,01/01/2024 22:00,01/01/2024,1,January,22:00,Kanniyakumari,Tamil Nadu,12.487,14.8541,13.6706,25.8,1005.92,73.6609,High,7821.3
24,01/01/2024 23:00,01/01/2024,1,January,23:00,Kanniyakumari,Tamil Nadu,14.8032,15.33,15.0666,25.6,993.87,57.8209,Medium,8500.21
25,02/01/2024 00:00,02/01/2024,2,January,00:00,Kanniyakumari,Tamil Nadu,11.8052,15.8591,13.8322,25.5,991.982,87.4875,High,9396.21
26,02/01/2024 01:00,02/01/2024,2,January,01:00,Kanniyakumari,Tamil Nadu,7.11154,11.5756,9.34355,25.3,1008.08,47.0684,Medium,3715.59
27,02/01/2024 02:00,02/01/2024,2,January,02:00,Kanniyakumari,Tamil Nadu,9.67829,10.9646,10.3215,25.2,1008.96,40.695,Medium,3161.6
28,02/01/2024 03:00,02/01/2024,2,January,03:00,Kanniyakumari,Tamil Nadu,10.5932,15.2161,12.9046,25,1005.48,41.9007,Medium,8426.03
29,02/01/2024 04:00,02/01/2024,2,January,04:00,Kanniyakumari,Tamil Nadu,3.01993,7.63336,5.32664,24.8,997.765,52.2501,Medium,1056.36
30,02/01/2024 05:00,02/01/2024,2,January,05:00,Kanniyakumari,Tamil Nadu,9.07846,11.6993,10.3889,24.8,980.882,61.8646,Medium,3738.76
31,02/01/2024 06:00,02/01/2024,2,January,06:00,Kanniyakumari,Tamil Nadu,11.2212,15.3123,13.2667,25.2,1002.96,48.7397,Medium,8559.71
32,02/01/2024 07:00,02/01/2024,2,January,07:00,Kanniyakumari,Tamil Nadu,4.17518,6.67744,5.42631,25.4,1004.49,82.0456,High,710.453
33,02/01/2024 08:00,02/01/2024,2,January,08:00,Kanniyakumari,Tamil Nadu,12.1482,15.1864,13.6673,26.2,989.609,72.0782,High,8211.61
34,02/01/2024 09:00,02/01/2024,2,January,09:00,Kanniyakumari,Tamil Nadu,9.58905,11.5283,10.5587,27.3,988.128,45.9167,Medium,3573.69
35,02/01/2024 10:00,02/01/2024,2,January,10:00,Kanniyakumari,Tamil Nadu,14.3789,15.5965,14.9877,28.4,1014.57,75.83,High,9052.78
36,02/01/2024 11:00,02/01/2024,2,January,11:00,Kanniyakumari,Tamil Nadu,2.55149,6.4109,4.4812,29.3,987.194,64.5737,Medium,609.936
37,02/01/2024 12:00,02/01/2024,2,January,12:00,Kanniyakumari,Tamil Nadu,5.44924,5.95551,5.70237,30,988.391,71.1324,High,488.433
38,02/01/2024 13:00,02/01/2024,2,January,13:00,Kanniyakumari,Tamil Nadu,9.8202,12.9282,11.3742,30.5,1004.91,86.5511,High,5071.61
39,02/01/2024 14:00,02/01/2024,2,January,14:00,Kanniyakumari,Tamil Nadu,5.85528,10.2464,8.05082,30.7,992.765,44.7309,Medium,2492.72
40,02/01/2024 15:00,02/01/2024,2,January,15:00,Kanniyakumari,Tamil Nadu,11.2875,12.7833,12.0354,30.6,997.646,85.1826,High,4865.89
41,02/01/2024 16:00,02/01/2024,2,January,16:00,Kanniyakumari,Tamil Nadu,11.8671,13.8651,12.8661,29.7,1001.2,72.2126,High,6249.47
42,02/01/2024 17:00,02/01/2024,2,January,17:00,Kanniyakumari,Tamil Nadu,8.4606,6.47639,7.46849,28.5,1017.24,42.5321,Medium,649.677
43,02/01/2024 18:00,02/01/2024,2,January,18:00,Kanniyakumari,Tamil Nadu,8.68011,10.291,9.48557,27.4,990.422,84.5201,High,2547.16
44,02/01/2024 19:00,02/01/2024,2,January,19:00,Kanniyakumari,Tamil Nadu,8.61558,12.9293,10.7724,26.7,981.781,56.4252,Medium,5018.92
45,02/01/2024 20:00,02/01/2024,2,January,20:00,Kanniyakumari,Tamil Nadu,6.80065,8.95036,7.87551,26.4,984.634,42.4415,Medium,1671.5
46,02/01/2024 21:00,02/01/2024,2,January,21:00,Kanniyakumari,Tamil Nadu,14.128,17.2453,15.6867,26.1,982.065,46.0159,Medium,11937
47,02/01/2024 22:00,02/01/2024,2,January,22:00,Kanniyakumari,Tamil Nadu,12.7576,14.2751,13.5164,25.9,1010.17,73.6885,High,6968.93
48,02/01/2024 23:00,02/01/2024,2,January,23:00,Kanniyakumari,Tamil Nadu,11.0637,11.75,11.4068,25.8,1019.24,86.5871,High,3922.5
49,03/01/2024 00:00,03/01/2024,3,January,00:00,Kanniyakumari,Tamil Nadu,11.2862,12.5679,11.9271,25.4,983.209,44.2914,Medium,4636.54
50,03/01/2024 01:00,03/01/2024,3,January,01:00,Kanniyakumari,Tamil Nadu,8.00231,8.71021,8.35626,25.2,991.381,85.0157,High,1557.32
51,03/01/2024 02:00,03/01/2024,3,January,02:00,Kanniyakumari,Tamil Nadu,13.9729,16.5816,15.2773,25.1,1014.15,33.8431,Low,10994.7
52,03/01/2024 03:00,03/01/2024,3,January,03:00,Kanniyakumari,Tamil Nadu,11.0297,14.1696,12.5997,25,1015.9,37.484,Low,6874.91
53,03/01/2024 04:00,03/01/2024,3,January,04:00,Kanniyakumari,Tamil Nadu,11.4768,12.1778,11.8273,25,988.651,51.7574,Medium,4247.09
54,03/01/2024 05:00,03/01/2024,3,January,05:00,Kanniyakumari,Tamil Nadu,13.202,14.1092,13.6556,24.9,1016.76,65.2669,Medium,6795.3
55,03/01/2024 06:00,03/01/2024,3,January,06:00,Kanniyakumari,Tamil Nadu,5.56293,8.24779,6.90536,24.8,1003.12,64.4228,Medium,1339.67
56,03/01/2024 07:00,03/01/2024,3,January,07:00,Kanniyakumari,Tamil Nadu,12.4919,16.5882,14.5401,25.1,1019.8,32.6878,Low,11069.1
